"","HT","commune","crop","system","area","yield","CropPrice","HiredLabor","FamilyLab","PriceHrdLab","PriceFamLab","rentedMachCosts","InputCosts"
"1","H1","CAU","mel","irr",0.5,2000,100,0,89,6000,6000,20000,101000
"2","H1","CAU","wtm","irr",0.5,1000,500,0,65,6000,6000,20000,59000
"3","H1","PAR","oni","irr",0.5,1e+05,25,0,55,8000,8000,45000,168000
"4","H1","PAR","sqh","irr",0.5,1000,50,0,25,8000,8000,45000,2e+05
"5","H1","PEN","mze","irr",56.5,115,13542,5.12,9.03,9000,8167,897575,458538
"6","H1","PEN","mel","irr",54.5,25500,177,57.21,45.8,9435,8522,217717,722847
"7","H1","PEN","wtm","irr",36.5,11038.1,729,63.03,49.66,9571,8476,175976,850795
"8","H1","PEN","tom","irr",10,90000,30,35.8,0,12000,8000,7940000,904000
"9","H1","PEN","wht","irr",1,50,15000,6,7,10000,10000,65000,213000
"10","H1","PEN","wht","dry",12,57.5,14150,0.05,2.43,10000,8750,281625,175100
"11","H1","PEN","sqh","irr",2,40000,30,0,30.15,10000,8000,3e+05,190400
"12","H1","SC","pea","irr",4.5,104,7800,44.39,6.64,16667,8333,163833,508267
"13","H1","SC","oni","irr",28,167500,22,78.63,29.97,17583,9500,233250,651246
"14","H1","SC","pot","irr",26.5,337.5,1938,45.51,18.1,16250,9500,155750,722338
"15","H1","SC","cmb","irr",1,83,9500,74,6.5,8000,7000,126000,290000
"16","H1","SC","wtm","irr",0.5,1320,1000,0,79,7500,7500,0,299000
"17","H1","SC","tom","irr",1,45000,130,78,60,15000,10000,0,511000
"18","H2","CAU","wht","dry",22,35.5,12500,0.84,0,7000,7000,1034000,178000
"19","H2","PAR","ric","irr",635,65.67,14844,1.52,4.48,9500,9167,7002667,288756
"20","H2","PAR","oat","irr",2,32,7000,0,1.5,10000,8000,0,216000
"21","H2","PAR","chk","irr",5,20,45000,0,11,10000,10000,125000,60000
"22","H2","PAR","chk","dry",4,12.5,45000,10,0.38,10000,8000,2e+05,119000
"23","H2","PAR","mze","irr",98,134.5,14375,6.55,1,8719,8000,2268750,489025
"24","H2","PAR","cmb","irr",9,25,42500,3,3.11,8438,7500,303000,106000
"25","H2","PAR","wht","irr",82,58.5,13862,0.38,0.75,9234,8125,605875,275038
"26","H2","PAR","wht","dry",41,46.67,12667,0.12,1.77,9333,8000,550000,147667
"27","H2","PEN","mze","irr",401,148,14133,8.04,1.69,8717,8300,6712200,529920
"28","H2","PEN","mel","irr",3.5,30000,155,101.17,2.17,8000,8000,0,740000
"29","H2","PEN","wtm","irr",13,20166.67,483,122,6.27,8667,7833,0,812333
"30","H2","PEN","tom","irr",65,1e+05,39,17.5,0,10000,10000,91325000,910000
"31","H2","PEN","wht","irr",103,50,13175,6,0.28,9500,9000,2545000,652700
"32","H2","PEN","wht","dry",116,75,13875,1.3,0.64,9250,7875,1803500,251200
"33","H2","PEN","sqh","irr",12,30000,20,53.08,0,9000,6000,840000,286000
"34","H2","SC","oni","irr",2,150000,20,20,16.62,10000,7000,0,558000
"35","H2","SC","mze","irr",346,108.14,14186,15.92,1.1,9248,7676,14321571,532302
"36","H2","SC","cmb","irr",5,22,35000,2.2,11.45,10000,10000,490000,344000
"37","H2","SC","tom","irr",5,69600,40,69,51.25,10000,10000,0,856000
"38","H2","SC","wht","irr",227.5,70.79,13746,2.94,1.35,9350,8136,2277293,290667
"39","H3","CAU","mze","irr",2,90,15000,25,11.5,6000,6000,0,195000
"40","H3","CAU","mze","dry",0.3,10,10000,0,10,6000,6000,8750,50000
"41","H3","CAU","pot","dry",0.3,48,10000,0,10,6000,6000,8750,32000
"42","H3","CAU","cmb","dry",0.5,5,30000,0,12,6000,6000,17000,16000
"43","H3","PAR","mze","irr",5.5,48,13125,1.5,17.65,8906,6750,65625,117330
"44","H3","PAR","pot","irr",0.5,64,5000,0,26,7000,7000,0,20000
"45","H3","PAR","cmb","irr",1,17,40000,4,7,10625,6000,50000,47000
"46","H3","PEN","mze","irr",16,91.67,13800,0,3.52,9333,9333,1747000,463533
"47","H3","SC","mze","irr",31,96.11,15256,7.04,11.9,9222,8444,859500,399607
"48","H3","SC","pot","irr",12.5,300,2000,24.63,13.27,13200,8200,182600,476120
"49","H3","SC","cmb","irr",24,31.25,30200,15.92,14.15,9400,8600,250100,218400
"50","H3","SC","gbn","irr",1,150,6500,100,29,10000,10000,38000,511000
"51","H4","CAU","oat","dry",9.3,17.3,11800,0.6,6.28,7080,6780,56750,121450
"52","H4","CAU","wht","dry",36.3,13.48,12970,0.33,6.62,6955,6858,44665,121685
"53","H4","PAR","oat","dry",1,40,30000,0,1,10000,10000,80000,195000
"54","H4","PAR","wht","dry",1.5,31.5,11500,0,6.13,8000,8000,36000,166660
"55","H5","CAU","oat","irr",3,30,9000,2.5,2.67,5000,5000,75000,250000
"56","H5","CAU","oat","dry",30.5,24.55,12364,1.04,1.82,7455,7182,110909,150582
"57","H5","CAU","chk","dry",13.5,17.66,43800,5,6.3,7000,7000,66560,90380
"58","H5","CAU","len","dry",1.5,20,1e+05,0,6.33,7000,7000,0,231500
"59","H5","CAU","mze","irr",0.5,12.5,10000,4,0,6000,6000,15000,232000
"60","H5","CAU","mze","dry",1,3,15000,0,22,6000,5000,0,63500
"61","H5","CAU","wht","dry",155.5,29.74,12556,0.63,3.43,6946,6905,174439,180022
"62","H5","PAR","ric","irr",62,50.25,14367,0.94,9.74,9375,8542,580264,247146
"63","H5","PAR","oat","irr",2,70,11000,0.5,0,9000,9000,0,335000
"64","H5","PAR","chk","irr",5,20,45000,0,10,8000,8000,375000,72000
"65","H5","PAR","mze","irr",8,101.4,14060,9.8,4.65,9000,8200,314200,397380
"66","H5","PAR","cmb","irr",3,14.5,32500,3,8.25,9000,8000,93000,119000
"67","H5","PAR","wht","irr",36.5,40.33,11800,0.19,3.1,7833,7167,230750,229667
"68","H5","PAR","wht","dry",42,44.98,11812,0.06,0.47,8250,7875,366625,183619
"69","H5","SC","mze","irr",0.5,80,12000,0,20,8000,8000,107500,367000
"70","H5","SC","cmb","irr",9,20,40000,6.8,24.89,9600,8000,206100,241832
"71","H5","SC","wht","irr",70,57.26,12981,1.48,6.77,9667,8315,293563,230348
