"","X","folio","commune","hhsize","Farm_size","Hrd_ratio","Ttl_Lab","Ttl_Rev","Ttl_Cst","Grn_shr","SV_shr","SC_shr","Consumption","Farm_size2","Ttl_Lab2","Hrd_ratio2","Ttl_Rev2","Ttl_Cst2","Grn_shr2","SV_shr2","SC_shr2","Consumption2","typo"
"1",1,1,1,4,6.5,0.23,22.15,5728846.15,2065147.69,0.153846153846154,0.461538461538462,0.384615384615385,0.0321311475409836,0.812913356642856,1.36455099535397,0.0899051114393979,6.75806715928867,6.31495111587544,0.0621479067488445,0.164810248645992,0.141329152796469,0.179251631906054,1
"2",2,2,1,4,4,0.46,271,18450000,4297750,0,0.75,0.25,0,0.602059991327962,2.4345689040342,0.164352855784437,7.26599637049508,6.63324114899203,0,0.243038048686294,0.0969100130080564,0,1
"3",3,3,1,5,10,0.53,77.3,7694500,3867099,0.45,0.55,0,0,1,1.89376176205794,0.184691430817599,6.88618040398607,6.58738529040856,0.161368002234975,0.190331698170291,0,0,1
"4",4,4,1,6,21.5,0.44,55.95,20209767.44,10350046.51,0,0.488372093023256,0.511627906976744,0.00164778578784758,1.33243845991561,1.75549372841512,0.15836249209525,7.30556131598409,7.01494230138627,0,0.172711518404301,0.179444901063269,0.0405929278058085,1
"5",5,5,1,4,7,0.16,72.86,6228571.43,2331071.43,0,0.714285714285714,0.285714285714286,0.0109574468085106,0.845098040014257,1.86840930331496,0.0644579892269184,6.79438844935394,6.36755558161991,0,0.234083206033368,0.109144469425068,0.104677823862128,1
"6",6,6,1,6,1,0.85,129,6e+06,1897000,0,1,0,0.005,0,2.11394335230684,0.267171728403014,6.77815125038364,6.27806733088866,0,0.301029995663981,0,0.0707106781186548,1
"7",7,7,1,5,4,0.5,144.25,6888750,2928000,0,0.75,0.25,0,0.602059991327962,2.16211614106237,0.176091259055681,6.83814042403353,6.46657107238635,0,0.243038048686294,0.0969100130080564,0,1
"8",8,8,1,4,3,0.61,172,8320000,2998200,0,1,0,0,0.477121254719662,2.2380461031288,0.20682587603185,6.92012332629072,6.47686059982623,0,0.301029995663981,0,0,1
"9",9,9,1,5,250,0.83,11.36,330840000,81278240,0.16,0.04,0.8,0,2.39794000867204,1.0920184707528,0.262451089730429,8.5196180121534,7.90997429082366,0.0644579892269184,0.0170333392987804,0.255272505103306,0,2
"10",10,10,1,4,3,0.88,95.33,7065000,2551500,0,1,0,0.00293701344656759,0.477121254719662,1.98376156028616,0.27415784926368,6.84911216618458,6.40679557266825,0,0.301029995663981,0,0.054194219678556,1
"11",11,11,1,7,6,0,30.17,6903333.33,1823000,0,0.666666666666667,0.333333333333333,0.0204007725736359,0.778151250383644,1.49373680227684,0,6.83905884396409,6.26078666865498,0,0.221848749616356,0.1249387366083,0.142831273093941,1
"12",12,12,1,4,12,0.61,22.58,18750000,5782666.67,0,0.166666666666667,0.833333333333333,0.00972222222222222,1.07918124604762,1.37254380075907,0.20682587603185,7.27300127206374,6.7621281590074,0,0.0669467896306133,0.263241434774581,0.0986013297183269,1
"13",13,13,1,2,3,0,2.67,5112000,1789000,0,0,1,0.0833333333333333,0.477121254719662,0.564666064252089,0,6.70859084515034,6.25261034056737,0,0,0.301029995663981,0.288675134594813,2
"14",14,14,1,6,46,0.08,2.57,39192000,11487950,0.5,0,0.5,0.000364870381710553,1.66275783168157,0.552668216112193,0.0334237554869497,7.59319742644827,7.06024253668484,0.176091259055681,0,0.176091259055681,0.0191015806076501,3
"15",15,15,1,3,1,0.57,56,4275000,875500,0,1,0,0.00333333333333333,0,1.75587485567249,0.195899652409234,6.63093611906419,5.94225615041946,0,0.301029995663981,0,0.0577350269189625,1
"16",16,16,1,4,8.5,0.96,32.35,10470588.24,3739305.88,0,0.529411764705882,0.470588235294118,0.00727272727272727,0.929418925714293,1.52309583825257,0.292256071356476,7.01997108112581,6.572790992451,0,0.184524426592544,0.167491087293764,0.0852802865422442,1
"17",17,17,1,5,14,1,34.71,6977142.86,5950000,0.714285714285714,0.285714285714286,0,0.00210863697705803,1.14612803567824,1.55278985019278,0.301029995663981,6.84367761543643,6.77451696572855,0.234083206033368,0.109144469425068,0,0.0459198973981653,1
"18",18,18,1,2,7,0.69,45.71,10175000,3221928.57,0,0.714285714285714,0.285714285714286,0.0093631669535284,0.845098040014257,1.66940986728778,0.227886704613674,7.00753441789726,6.50811590790234,0,0.234083206033368,0.109144469425068,0.0967634587720406,1
"19",19,19,1,3,8,0,6.5,5808000,6820800,0,0,1,0.00681818181818182,0.903089986991944,0.8750612633917,0,6.76402660769204,6.83383531530306,0,0,0.301029995663981,0.0825722823844771,2
"20",20,20,1,4,100,0,8.04,198800000,72600000,0,0,1,0,2,0.956168430475363,0,8.29841638006129,7.86093662070009,0,0,0.301029995663981,0,2
"21",21,21,1,4,20,1,11.2,44800000,21537900,0,0,1,0,1.30102999566398,1.08635983067475,0.301029995663981,7.65127801399814,7.33320335621022,0,0,0.301029995663981,0,2
"22",22,22,1,4,68,1,11.5,60150858.82,23114655.88,0.441176470588235,0,0.558823529411765,0,1.83250891270624,1.09691001300806,0.301029995663981,7.77924183247593,7.3638874322526,0.158717162986258,0,0.192796952558534,0,3
"23",23,23,1,5,1,0.95,55,6440000,1719500,0,1,0,0.00357142857142857,0,1.7481880270062,0.290034611362518,6.80888586735981,6.23540218015803,0,0.301029995663981,0,0.0597614304667197,1
"24",24,24,1,4,12,0.34,65.75,14931666.67,8337583.33,0,0.416666666666667,0.583333333333333,0.00637605725439167,1.07918124604762,1.82445127003661,0.127104798364808,7.17410828630413,6.92104018750372,0,0.151267675330649,0.199572354905204,0.0798502176226945,1
"25",25,25,1,5,4,0,26.5,28800000,4864000,0,1,0,0.000208333333333333,0.602059991327962,1.43933269383026,0,7.45939248775923,6.68699356626468,0,0.301029995663981,0,0.0144337567297406,1
"26",26,26,1,4,13,0.32,39.38,13315384.62,5277115.38,0.384615384615385,0.615384615384615,0,0.00438368055555556,1.11394335230684,1.60616631460762,0.12057393120585,7.12435371571909,6.72239658979007,0.141329152796469,0.208275942427082,0,0.0662093690919613,1
"27",27,27,1,3,10,1,35.8,2.7e+07,19964000,0,1,0,0,1,1.56584781867352,0.301029995663981,7.43136376415899,7.30024756119408,0,0.301029995663981,0,0,1
"28",28,28,1,5,3,0,53.67,2890000,1039666.67,0.333333333333333,0.666666666666667,0,0.0610841983852364,0.477121254719662,1.73774907389156,0,6.46089784275655,6.0168941214299,0.1249387366083,0.221848749616356,0,0.247152176573941,1
"29",29,29,1,6,10.5,0.81,27.05,6818095.24,2701023.81,0.761904761904762,0.238095238095238,0,0.106906077348066,1.02118929906994,1.44793286559218,0.257678574869184,6.83366306346922,6.43152841258658,0.245982429333076,0.0927540532368986,0,0.326964948194858,1
